Collection,Asset,Primary Owner,Second Owner,Sys Admin,Label,STIGs,Benchmarks,Assessed,Submitted,Accepted,Rejected,CAT3,CAT2,CAT1
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLPRD01-NPA4SQLPRD01-SQLSERVER2017_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLSCCM01-NPA4SQLSCCM01-SQLSERVER2017,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,7,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLSCCM01-NPA4SQLSCCM01-SQLSERVER2017_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPB7SCCM01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,7,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPB7SCCM02-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,7,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2902WEB-01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,7%,0%,0,10,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2902WEB-01-NP-CRL-NA,,,,,1,IIS_10-0_Site_STIG,82%,66%,0%,0%,0,7,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2ASDIISDEV01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,7,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2ASDIISPRO01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,8,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2ASDIISPRO02-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,6,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2ISMSDEV01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,13,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2ISMSPRO01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPC2WEB02-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,12,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPD2WSUS01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPDMWUG01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,14,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPRICAINT00-Default Web Site-NA,,,,,1,IIS_8-5_Site_STIG,98%,96%,0%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPRICAINT00-pki.nptrdte.nuwc.navy.mil-NA,,,,,1,IIS_8-5_Site_STIG,96%,85%,0%,0%,0,5,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPRIRMPS10-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,7%,0%,0,0,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPRIRMPS10-WSUS Administration-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,0%,0%,0,4,0
NP_C10-UnclassCore PL_1761_Zone A,902DAT11,,,,PENDING DECOM,3,"MS_Dot_Net_Framework,IE_11_STIG,Windows_2012_MS_STIG",93%,93%,93%,0%,0,5,1
NP_C10-UnclassCore PL_1761_Zone A,902MPS29A,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-UnclassCore PL_1761_Zone A,NP0902WK400188,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",73%,73%,73%,0%,0,6,0
NP_C10-UnclassCore PL_1761_Zone A,NP0902WK402124,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",73%,73%,73%,0%,0,4,0
NP_C10-UnclassCore PL_1761_Zone A,Zone_A_Enclave,,,,,1,Enclave_-_Zone_A,100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,902-PrimaryFW,Ryan Nario,,,,3,"Palo_Alto_Networks_NDM_STIG,Palo_Alto_Networks_IDPS_STIG,Palo_Alto_Networks_ALG_STIG",100%,100%,95%,0%,1,4,0
NP_C10-UnclassCore_1761_Zone A_Network,902-SecondaryFW,Ryan Nario,,,,3,"Palo_Alto_Networks_NDM_STIG,Palo_Alto_Networks_IDPS_STIG,Palo_Alto_Networks_ALG_STIG",100%,100%,95%,0%,1,4,0
NP_C10-UnclassCore_1761_Zone A_Network,ASD_SDP-RTR1,Ryan Nario,,,,2,"Cisco_IOS-XE_Router_NDM_STIG,Cisco_IOS-XE_Router_RTR_STIG",100%,100%,97%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,B111-RM103-SW1,Ryan Nario,,,,2,"Cisco_IOS_Switch_NDM_STIG,Cisco_IOS_Switch_L2S_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,B111-RM104-REMRTR3,Ryan Nario,,,,2,"Cisco_IOS-XE_Router_RTR_STIG,Cisco_IOS-XE_Router_NDM_STIG",100%,100%,97%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,B111-RM104-VPN1,Ryan Nario,,,,3,"Cisco_ASA_IPS_STIG,Cisco_ASA_NDM_STIG,Cisco_ASA_VPN_STIG",100%,100%,96%,0%,0,8,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6ASDISE01,Ryan Nario,,,,3,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG",100%,100%,100%,0%,0,2,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6ASDISE02,Ryan Nario,,,,3,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG",100%,100%,100%,0%,0,2,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6RDTEFMC01,David Austin,,Patrick Hurney,,1,Cisco_ASA_IPS_STIG,100%,100%,100%,0%,0,4,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6RDTEISE01,Ryan Nario,,David Austin.,,2,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG",100%,100%,100%,0%,0,2,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6RDTEISE02,Ryan Nario,,David Austin.,,2,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG",100%,100%,100%,0%,0,2,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6RDTEISE03,David Austin,,Patrick Hurney,,3,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG",100%,100%,100%,0%,0,2,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6RDTEISE04,David Austin,,Patrick Hurney,,3,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG",100%,100%,100%,0%,0,2,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB6TESTISE01,Ryan Nario,,David Austin.,,3,"Cisco_ISE_NAC_STIG,Cisco_ISE_NDM_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG",100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB7-B111R104-WLC1,Ryan Nario,,,,2,"Network_WLAN_Controller_Platform_STIG,Network_WLAN_Controller_Mgmt_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB7-B111R104-WLC2,Ryan Nario,,,,2,"Network_WLAN_Controller_Platform_STIG,Network_WLAN_Controller_Mgmt_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPB7-B111R104-WLC3,Ryan Nario,,,,2,"Network_WLAN_Controller_Platform_STIG,Network_WLAN_Controller_Mgmt_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPDMPALO01,,,Frank Marzano,,2,"Palo_Alto_Networks_IDPS_STIG,Palo_Alto_Networks_NDM_STIG",100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore_1761_Zone A_Network,NPDMPALO02,,,Frank Marzano,,2,"Palo_Alto_Networks_IDPS_STIG,Palo_Alto_Networks_NDM_STIG",100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD-ST22002-66,Ryan Nario,,,,2,"Cisco_IOS_Switch_NDM_STIG,Cisco_IOS_Switch_L2S_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1001-RM1-135,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1003-RM1-136,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1004-RM13-180,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1015-RM1-138,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1017-RM1-139,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1030-RM1-194,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1107-RM7-140,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1201-RM1-141,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1206-RM1-142,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1215-RM122-143,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1215-RM122-181,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1215-RM216-182,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1218-RM1-144,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1301-RM1-145,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1302-RM1-146,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1401-RM3-151,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1404-RM1-152,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1405-RM11-153,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1420-RM8-160,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1530-RM1-164,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1602-RM107-183,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1602-RM6-184,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM107-186,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM154-187,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM160-198,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM160B-189,Ryan Nario,,,,2,"Cisco_IOS_Switch_NDM_STIG,Cisco_IOS_Switch_L2S_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM162-167,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM165-200,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM168-150,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM199-185,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM207-190,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1604-RM210-188,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1681-RM1-199,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1701-RM1-DATA1,,,,,2,"Cisco_IOS_XE_Switch_NDM_STIG,Cisco_IOS_XE_Switch_L2S_STIG",100%,100%,51%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1701-RM1-DATA2,,,,,2,"Cisco_IOS_XE_Switch_NDM_STIG,Cisco_IOS_XE_Switch_L2S_STIG",100%,100%,51%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1701-RM1-DATA3,,,,,2,"Cisco_IOS_XE_Switch_NDM_STIG,Cisco_IOS_XE_Switch_L2S_STIG",100%,100%,51%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1922-RM1-174,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-ASD1939-RM1-177,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B101-RM114,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B102-RM107,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B102-RMConexA,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B102-RMConexB,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B102T-RM119C,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B103-RM128,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B103-RM144-SW1,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B103-RM144-SW2,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-APC1,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-APC2,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-APC3,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-APC4,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-B3COI,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-DISTRO,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-DMZSW1,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-HBSS,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row1R1,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row1R4,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row2R10,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row3R6,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row3R7,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row4R,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row4R7,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-Row4R8,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM101-SS1SS2,Ryan Nario,,,,2,"Cisco_IOS_Switch_L2S_STIG,Cisco_IOS_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B104-RM105,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B105-RM102,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B105-RM200,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B105-SMC-LENEL,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B106-RM113,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B109-RM108,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B11-RMD16,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B110-RM102,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-DISTRO,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-DMZSW1,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-DRENSW,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-FWSW,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-IDS-SW1,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-IDS-SW2,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-RACK10,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-RACK12,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore_1761_Zone A_Network,NPML-B111-RM104-Rack2,Ryan Nario,,,,2,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG",100%,100%,100%,0%,0,0,0
